"ID","Album","Release Date","Track Number","Track Name","Duration (ms)","Spotify URL"
"MCZ00310","MONONOFU NIPPON feat. 布袋寅泰","2023-08-04","1","MONONOFU NIPPON feat. 布袋寅泰","262500","https://open.spotify.com/track/2Jp8TKibZMeNH7rUnERfHh"
"MCZ00391","MOON PRIDE","2014-07-30","1","MOON PRIDE","223640","https://open.spotify.com/track/2vKK2J9JLSHXwxz2njJvph"
"MCZ00392","MOON PRIDE","2014-07-30","2","月虹","262906","https://open.spotify.com/track/1jTR0CxHMVkuGecpWiXKKi"
"MCZ00393","MOON PRIDE","2014-07-30","3","Moon Revenge","266880","https://open.spotify.com/track/22eE7HsIkgi9BKMEJMxl9g"
"MCZ00394","MOON PRIDE","2014-07-30","4","MOON PRIDE(off vocal ver.)","222973","https://open.spotify.com/track/5g0aok55Yd88b9DyXSRaxh"
"MCZ00395","MOON PRIDE","2014-07-30","5","月虹(off vocal ver.)","262906","https://open.spotify.com/track/5mlQBfYmo9RIn1WjD3gYPk"
"MCZ00396","MOON PRIDE","2014-07-30","6","Moon Revenge(off vocal ver.)","265720","https://open.spotify.com/track/0gTQO8fOVjreGksqktjbWp"
"MCZ00320","MYSTERION","2022-04-29","1","MYSTERION","240265","https://open.spotify.com/track/47e3IIqqC5FbSp23Ij685X"
"MCZ00334","Nightmare Before Catharsis","2019-08-03","1","Nightmare Before Catharsis","271580","https://open.spotify.com/track/3NqDID1wO3oPLWFStqr8dV"
"MCZ00325","On Your Mark/ももいろクローバーZ with ファンキー加藤","2021-02-24","1","On Your Mark/ももいろクローバーZ with ファンキー加藤","244572","https://open.spotify.com/track/5wjOWHYlV3RXdSBSoePzel"
"MCZ00321","One Night Carnival","2022-03-30","1","One Night Carnival","300410","https://open.spotify.com/track/0kFK96zuHVK2DeJ60htlpp"
"MCZ00326","PLAY!","2020-11-30","1","PLAY!","223079","https://open.spotify.com/track/17SS6TbGkVygzCb0L83oP0"
"MCZ00345","Re:Story","2018-08-05","1","Re:Story","320690","https://open.spotify.com/track/5AKVyy1IaVcVCX24t4bYIY"
"MCZ00311","Re:volution","2023-07-21","1","Re:volution","218639","https://open.spotify.com/track/6OcaXwCMvegTumSpl2gxBG"
"MCZ00327","stay gold","2019-11-27","1","stay gold","214546","https://open.spotify.com/track/2iTMff0H6Mu20KQrJyd3Gq"
"MCZ00341","Sweet Wanderer","2018-12-21","1","Sweet Wanderer","318427","https://open.spotify.com/track/2Qu0mPuEHkHCtu0bmIiZ0x"
"MCZ00138","TDF LIVE BEST","2020-07-03","1","overture ～ももいろクローバーZ参上！！～ (｢10th Anniversary The Diamond Four -in 桃響導夢-｣ DAY2)","95199","https://open.spotify.com/track/5OtKzaTi7TruBU5FiXSSi7"
"MCZ00139","TDF LIVE BEST","2020-07-03","2","ROCK THE BOAT (｢MomocloMania2018 -Road to 2020-｣ DAY1)","207932","https://open.spotify.com/track/2cNFei0dspEDumlSYay1IE"
"MCZ00140","TDF LIVE BEST","2020-07-03","3","猛烈宇宙交響曲･第七楽章｢無限の愛｣ (｢ももいろクリスマス2018 DIAMOND PHILHARMONY -The Real Deal-｣DAY1)","311705","https://open.spotify.com/track/2GImxeddhgfIoalDja2o0w"
"MCZ00141","TDF LIVE BEST","2020-07-03","4","背番号 (｢MomocloMania2019 -ROAD TO 2020- 史上最大のプレ開会式｣ DAY2)","211359","https://open.spotify.com/track/536LNlmCgB9HaOH5vMDrPT"
"MCZ00142","TDF LIVE BEST","2020-07-03","5","灰とダイヤモンド (｢ももいろクリスマス2018 DIAMOND PHILHARMONY -The Real Deal-｣ DAY1)","409252","https://open.spotify.com/track/2Q71xeZRM1YJjgn3AsbAOQ"
"MCZ00143","TDF LIVE BEST","2020-07-03","6","吼えろ (｢ももいろクローバーZ 10th Anniversary The Diamond Four -in 桃響導夢-｣ DAY2)","264785","https://open.spotify.com/track/4p8zeLHdSnVvhkOpwg7TVZ"
"MCZ00144","TDF LIVE BEST","2020-07-03","7","Re:Story (｢MomocloMania2018 -Road to 2020-｣ DAY2)","354065","https://open.spotify.com/track/63BCfE4CgE2VlDdPi3nQvO"
"MCZ00145","TDF LIVE BEST","2020-07-03","8","白い風 (｢ももいろクリスマス2018 DIAMOND PHILHARMONY -The Real Deal-｣ DAY1)","251145","https://open.spotify.com/track/7tIJjCo5DRMMkJWdQibQaZ"
"MCZ00146","TDF LIVE BEST","2020-07-03","9","ゴリラパンチ (｢ももいろクローバーZ 10th Anniversary The Diamond Four -in 桃響導夢-｣ DAY2)","314185","https://open.spotify.com/track/6FaJfJX5PulCrCI6wmvwoz"
"MCZ00147","TDF LIVE BEST","2020-07-03","10","GET Z, GO!!!! (｢MomocloMania2018 -Road to 2020-｣ DAY1/2018.8.4公演)","264252","https://open.spotify.com/track/28SZoRXrUVuvaa2EHefqns"
"MCZ00148","TDF LIVE BEST","2020-07-03","11","今宵､ライブの下で (｢ももいろクローバーZ 10th Anniversary The Diamond Four -in 桃響導夢-｣ DAY2)","301092","https://open.spotify.com/track/3qqYqBcah6SPvAidVOwltL"
"MCZ00149","TDF LIVE BEST","2020-07-03","12","Nightmare Before Catharsis (｢MomocloMania2019 -ROAD TO 2020- 史上最大のプレ開会式｣ DAY1)","293465","https://open.spotify.com/track/1uFNC1g8rd5T6BYZJnhCle"
"MCZ00150","TDF LIVE BEST","2020-07-03","13","あの空へ向かって (｢ももいろクローバーZ 10th Anniversary The Diamond Four -in 桃響導夢-｣ DAY2)","338812","https://open.spotify.com/track/0Ck0tRysIPh3EBN9fI8e1e"
"MCZ00335","The Diamond Four/GODSPEED/あんた飛ばしすぎ!!/Re:Story/Sweet Wanderer/天国のでたらめ","2019-05-17","1","The Diamond Four","225160","https://open.spotify.com/track/1WhTnUTbuYj295y0KWlANr"
"MCZ00336","The Diamond Four/GODSPEED/あんた飛ばしすぎ!!/Re:Story/Sweet Wanderer/天国のでたらめ","2019-05-17","2","GODSPEED","261760","https://open.spotify.com/track/4Xq9p2osVAi4V8e30fYMAS"
"MCZ00337","The Diamond Four/GODSPEED/あんた飛ばしすぎ!!/Re:Story/Sweet Wanderer/天国のでたらめ","2019-05-17","3","あんた飛ばしすぎ!!","245773","https://open.spotify.com/track/1KHz9mveYgKX7Q6oLBW2t7"
"MCZ00338","The Diamond Four/GODSPEED/あんた飛ばしすぎ!!/Re:Story/Sweet Wanderer/天国のでたらめ","2019-05-17","4","Re:Story","319586","https://open.spotify.com/track/63rAPBHkotRKNMZ3I1h01U"
"MCZ00339","The Diamond Four/GODSPEED/あんた飛ばしすぎ!!/Re:Story/Sweet Wanderer/天国のでたらめ","2019-05-17","5","Sweet Wanderer","317253","https://open.spotify.com/track/4YcJ9B3mj8dR2NUGATnLx0"
"MCZ00340","The Diamond Four/GODSPEED/あんた飛ばしすぎ!!/Re:Story/Sweet Wanderer/天国のでたらめ","2019-05-17","6","天国のでたらめ","308520","https://open.spotify.com/track/7bxpv7EUcFKVqudFmfYcv5"
"MCZ00151","ZZ's","2020-01-31","1","行くぜっ!怪盗少女 -ZZ ver.-","228026","https://open.spotify.com/track/6gIf4tylgA6mr7mj62Pz55"
"MCZ00152","ZZ's","2020-01-31","2","走れ! -ZZ ver.-","282013","https://open.spotify.com/track/4GAxImqhNN1uORcirfAVir"
"MCZ00153","ZZ's","2020-01-31","3","全力少女 -ZZ ver.-","268586","https://open.spotify.com/track/1SpWMkMpGJgXRtL9ofbwrE"
